LINEA,STOP_ID
104,1006269
104,1006226
104,1006271
104,1005759
104,12748
104,1006255
104,1006220
104,1006394
104,1006256
104,1006281
104,1006228
104,15423
104,1006437
104,1006322
104,15450
104,12961
104,1006435
104,12997
104,1006412
104,13067
104,15502
104,1006411
104,13168
104,13178
104,1006405
104,1006407
104,1006408
105,1005465
105,20667
105,1005452
105,5170
105,1005429
105,1005455
105,1003920
105,1003593
105,1002536
105,1002545
105,1000330
105,1005431
105,20670
105,4753
105,4789
105,4833
105,1005440
105,20669
105,20668
105,1005430
105,20666
105,1005449
105,20665
105,1005502
105,1005501
105,5203
105,5287
105,5421
105,5475
105,1005493
105,5307
105,1005503
105,20664
105,1005463
105,5407
105,1005500
105,20663
105,1005802
105,1003986
105,20662
105,1003424
105,1003927
105,1003926
105,1001404
105,1003583
105,1003726
105,1003591
105,1003588
105,1002535
105,1003657
105,1007307
105,1002169
105,6175
105,1000954
105,6199
105,1001875
105,1001810
105,6258
105,1003380
105,1000380
105,1003596
105,1000384
105,1003428
105,1000238
105,1000389
105,1002540
105,1003431
105,1002543
105,1000394
105,1003434
105,1002546
105,1003576
105,1003600
105,1000434
105,1002581
105,1000210
105,1001815
105,1000864
105,6424
105,6439
105,1000286
105,1000872
105,1002174
105,1002143
105,1000309
105,1002142
105,1000318
105,1000343
105,1000347
105,1001275
105,6777
105,6924
106,1007015
106,1004021
106,4719
106,1000134
106,1000198
106,1000197
106,1003684
106,1003715
106,8492
106,1004823
106,1006360
106,10323
106,1006935
106,1006927
106,1007006
106,4522
106,1000283
106,1000126
106,1003944
106,4600
106,4604
106,4652
106,1002070
106,1001739
106,4713
106,1000215
106,4730
106,1000178
106,1000177
106,1004018
106,4778
106,1000079
106,1000131
106,1004016
106,1000135
106,4875
106,1004015
106,1000077
106,1000195
106,1000074
106,1000070
106,1002510
106,1000535
106,4938
106,1000475
106,1000467
106,1000190
106,4963
106,5004
106,1000187
106,1003945
106,1000537
106,1000506
106,1000497
106,1000493
106,1003940
106,1003948
106,1003949
106,1003936
106,1003953
106,1003934
106,5831
106,6030
106,1003597
106,1003694
106,1003720
106,1003717
106,1003685
106,6807
106,1003672
106,1003706
106,7091
106,1002319
106,7376
106,1003700
106,1002293
106,1002288
106,1004939
106,7640
106,1002282
106,1002328
106,1004937
106,1004941
106,1002280
106,1005197
106,1004948
106,1002278
106,8004
106,1002251
106,1004943
106,1004951
106,1002277
106,1004947
106,1005198
106,8167
106,1001681
106,1004836
106,1002276
106,1004945
106,1005199
106,1004952
106,1005220
106,20277
106,8352
106,1004841
106,1004953
106,1005200
106,1007319
106,1004858
106,1005221
106,179
106,1004840
106,8632
106,8678
106,1005222
106,1004838
106,1005230
106,1004824
106,1004839
106,1004801
106,1004802
106,1004803
106,9296
106,1004796
106,1004795
106,9495
106,9805
106,1004804
106,10031
106,10219
106,219
106,10345
106,1006359
106,1006358
107,20144
107,1002089
107,1002078
107,1007303
107,2591
107,1004718
107,1005537
107,1005508
107,1005429
107,1005005
107,1004995
107,1004964
107,16011
107,715
107,1006980
107,949
107,1001750
107,1001751
107,1002308
107,1002313
107,1002712
107,1002318
107,925
107,1002320
107,1001752
107,1002101
107,1002321
107,1002091
107,1002324
107,1003094
107,1002080
107,1002090
107,1003097
107,1002884
107,1003098
107,1007302
107,1002885
107,1601
107,1002886
107,1655
107,1002887
107,1706
107,1002888
107,1005138
107,1784
107,1002459
107,1005139
107,1002457
107,1005140
107,1003374
107,1002450
107,1005141
107,1005145
107,1004776
107,1005205
107,1004778
107,2206
107,1005210
107,1004783
107,1005212
107,1004784
107,1004789
107,1005031
107,1004791
107,1004765
107,1004793
107,1004764
107,2977
107,1004688
107,3138
107,1004692
107,1004748
107,1004716
107,1004747
107,1004717
107,1004746
107,3826
107,1004719
107,1005532
107,1005542
107,1005530
107,1005510
107,1005504
107,1005507
107,1005483
107,1005477
107,1005475
107,1005470
107,1005468
107,1005010
107,1005129
107,1005007
107,1005006
107,1005004
107,1005003
107,1005266
107,1004996
107,1004997
107,1004867
107,1004885
107,1004865
107,1007316
107,1004863
107,1007317
107,1007318
107,1004893
107,1004407
107,1004892
107,1004835
107,1004891
107,1004972
107,1004843
107,1004971
107,1004890
107,1004970
107,1004969
107,1004889
107,1004968
107,1004967
107,1004966
107,14938
107,1005402
107,1005401
107,1005400
107,1005399
107,1005396
107,1005691
107,1005692
107,1005697
107,1006191
107,1006183
107,1006182
107,1006165
107,1006161
107,1006158
107,1006312
107,15259
107,1006152
107,1006310
107,12658
107,1006308
107,1006144
107,1006305
107,1005740
108,1000897
108,1003485
108,1000896
108,3469
108,1000098
108,3665
108,1003805
108,1003833
108,1004670
108,4858
108,1005452
108,1005429
108,1005455
108,6976
108,1004799
108,10024
108,1000894
108,1000902
108,1004651
108,1003493
108,1000895
108,1004630
108,1003490
108,20778
108,20782
108,1000901
108,1004654
108,1005035
108,1004628
108,1003507
108,1001095
108,1000951
108,1004656
108,1000941
108,1004626
108,1000945
108,1004129
108,1003739
108,1000932
108,1004127
108,1003752
108,3277
108,1000928
108,1005105
108,1000918
108,1000099
108,1004124
108,1000923
108,1004121
108,1000449
108,1003745
108,3390
108,1003763
108,1000499
108,1004660
108,3417
108,1004624
108,1000510
108,3453
108,1004117
108,1003746
108,1000102
108,1006903
108,1000900
108,3500
108,3508
108,1000441
108,1003772
108,1004661
108,4113
108,3577
108,1000898
108,3632
108,15894
108,1000515
108,1004662
108,1004663
108,1000899
108,1000428
108,1000518
108,3849
108,1004665
108,1004667
108,3988
108,3983
108,3992
108,1006934
108,1000524
108,1000418
108,1004672
108,1006929
108,4281
108,4181
108,4174
108,1004674
108,14245
108,1006920
108,1000544
108,1003863
108,1003866
108,4350
108,1007005
108,1004678
108,1004679
108,4412
108,4416
108,1000628
108,1004681
108,1005547
108,4604
108,4658
108,1001742
108,1001046
108,1001739
108,1002852
108,4713
108,1000212
108,1001699
108,1005438
108,1000220
108,1000179
108,1002854
108,1005435
108,1005443
108,1005449
108,5031
108,1005470
108,1005457
108,5491
108,1005010
108,5717
108,1005009
108,5979
108,1005008
108,6180
108,1004603
108,1004993
108,1004992
108,1004987
108,1004870
108,1004873
108,1004877
108,1004535
108,1004537
